iter	Passed	Remaining
802	917	225
803	918	223
804	919	222
805	920	221
806	921	220
807	922	219
808	923	218
809	924	216
810	925	215
811	926	214
812	927	213
813	928	212
814	929	211
815	930	209
816	931	208
817	932	207
818	933	206
819	934	205
820	935	203
821	936	202
822	937	201
823	938	200
824	939	199
825	940	198
826	941	196
827	942	195
828	943	194
829	944	193
830	945	192
831	946	191
832	947	189
833	948	188
834	949	187
835	950	186
836	951	185
837	952	184
838	953	182
839	954	181
840	955	180
841	956	179
842	957	178
843	958	177
844	958	175
845	959	174
846	960	173
847	961	172
848	962	171
849	964	170
850	965	168
851	966	167
852	967	166
853	968	165
854	968	164
855	969	163
856	970	161
857	971	160
858	972	159
859	973	158
860	974	157
861	975	156
862	976	155
863	977	153
864	978	152
865	979	151
866	980	150
867	981	149
868	982	148
869	983	146
870	984	145
871	985	144
872	986	143
873	987	142
874	988	141
875	989	140
876	990	138
877	991	137
878	992	136
879	993	135
880	994	134
881	994	133
882	995	131
883	997	130
884	999	129
885	1000	128
886	1001	127
887	1002	126
888	1003	125
889	1004	124
890	1005	123
891	1006	121
892	1007	120
893	1008	119
894	1009	118
895	1010	117
896	1011	116
897	1012	115
898	1013	113
899	1015	112
900	1016	111
901	1017	110
902	1018	109
903	1019	108
904	1020	107
905	1021	105
906	1022	104
907	1023	103
908	1024	102
909	1025	101
910	1026	100
911	1027	99
912	1029	98
913	1030	96
914	1031	95
915	1032	94
916	1033	93
917	1034	92
918	1035	91
919	1036	90
920	1037	88
921	1038	87
922	1039	86
923	1040	85
924	1041	84
925	1042	83
926	1043	82
927	1044	81
928	1045	79
929	1046	78
930	1047	77
931	1048	76
932	1049	75
933	1050	74
934	1051	73
935	1052	71
936	1054	70
937	1055	69
938	1056	68
939	1057	67
940	1058	66
941	1059	65
942	1060	64
943	1061	62
944	1063	61
945	1064	60
946	1065	59
947	1066	58
948	1067	57
949	1069	56
950	1070	55
951	1071	54
952	1072	52
953	1074	51
954	1075	50
955	1076	49
956	1077	48
957	1079	47
958	1080	46
959	1081	45
960	1082	43
961	1083	42
962	1085	41
963	1086	40
964	1087	39
965	1088	38
966	1089	37
967	1091	36
968	1092	34
969	1093	33
970	1094	32
971	1095	31
972	1098	30
973	1099	29
974	1100	28
975	1101	27
976	1102	25
977	1104	24
978	1105	23
979	1106	22
980	1107	21
981	1108	20
982	1109	19
983	1110	18
984	1111	16
985	1112	15
986	1114	14
987	1115	13
988	1117	12
989	1118	11
990	1119	10
991	1120	9
992	1121	7
993	1122	6
994	1123	5
995	1124	4
996	1125	3
997	1126	2
998	1127	1
999	1129	0
